6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2NjE4MHx0aXxsb3Jh};01.12.2021 - 01:21:08 AM;12;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2NjI4Nnx0aXxsb3Jh};01.12.2021 - 01:21:08 AM;1;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2NzAyNXx0aXxsb3Jh};01.12.2021 - 01:21:08 AM;1;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2NzEyMHx0aXxsb3Jh};01.12.2021 - 01:21:08 AM;3;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2ODc5NHx0aXxsb3Jh};01.12.2021 - 01:21:09 AM;2;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2OTA0MXx0aXxsb3Jh};01.12.2021 - 01:21:09 AM;2;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2OTQ1Nnx0aXxsb3Jh};01.12.2021 - 01:21:09 AM;5;303;;;;
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODMyMTY2OTY4MXx0aXxsb3Jh};01.12.2021 - 01:21:09 AM;4;303;;;;
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=20.07 /><ti value = XML /><ts value = 1638321670095 /> </measure>;01.12.2021 - 01:21:10 AM;101;127;;;;
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=20.07 /><ti value = XML /><ts value = 1638321670260 /> </measure>;01.12.2021 - 01:21:10 AM;5;127;;;;
